post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,339,39,WerWolv,2026-04-09 13:44:59,0.11470588235294117,True
47701233,Claude mixes up who said what and that's not OK,technology,212,194,sixhobbits,2026-04-09 13:44:59,0.9107981220657277,True
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,58,46,SirHound,2026-04-09 13:44:59,0.7796610169491526,False
47687273,Git commands I run before reading any code,technology,2112,456,grepsedawk,2026-04-09 13:44:59,0.21580690960719356,True
47700084,"Code Is Cheap Now, and That Changes Everything",technology,24,3,v-mdev,2026-04-09 13:44:59,0.12,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,313,55,chrsw,2026-04-09 13:44:59,0.1751592356687898,True
47696035,John Deere to pay $99M in right-to-repair settlement,technology,341,115,CharlesW,2026-04-09 13:45:00,0.3362573099415205,True
47699814,Process Manager for Autonomous AI Agents,technology,53,12,ankitg12,2026-04-09 13:45:00,0.2222222222222222,False
47689237,US cities are axing Flock Safety surveillance technology,technology,721,407,giuliomagnifico,2026-04-09 13:45:00,0.5637119113573407,True
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,381,183,nickvec,2026-04-09 13:45:01,0.4790575916230366,True
47656518,Your File System Is Already A Graph Database,technology,176,74,alxndr,2026-04-09 13:45:01,0.4180790960451977,False
47701971,AI and remote work is a disaster for junior software engineers,technology,11,3,gpi,2026-04-09 13:45:01,0.25,False
47679121,Project Glasswing: Securing critical software for the AI era,technology,1501,810,Ryan5453,2026-04-09 13:45:01,0.5392809587217043,True
47698067,You Can Just Print an Air Purifier,technology,29,2,zdw,2026-04-09 13:45:02,0.06666666666666667,False
47674606,Show HN: Unicode Steganography,technology,53,13,PatrickVuscan,2026-04-09 13:45:02,0.24074074074074073,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,66,78,kisamoto,2026-04-09 13:45:02,1.164179104477612,False
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,48,37,dreamsome,2026-04-09 13:45:03,0.7551020408163265,False
47689319,Show HN: Skrun – Deploy any agent skill as an API,technology,56,9,frizull,2026-04-09 13:45:03,0.15789473684210525,False
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,210,198,bundie,2026-04-09 13:45:03,0.9383886255924171,True
47624572,A database of analog cameras that can be 3D printed,technology,164,26,thomasjb,2026-04-09 13:45:03,0.15757575757575756,False
47699963,AI Cybersecurity After Mythos: The Jagged Frontier,technology,8,2,evelinag,2026-04-09 13:45:04,0.2222222222222222,False
47699090,'There's a lot of desperation': older workers turn to AI training to stay afloat,technology,31,8,Stratoscope,2026-04-09 13:45:04,0.25,False
47672295,Every GPU That Mattered,technology,328,204,jonbaer,2026-04-09 13:45:04,0.6200607902735562,True
47696558,Finetuning Activates Verbatim Recall of Copyrighted Books in LLMs,technology,14,3,guitarlimeo,2026-04-09 13:45:05,0.2,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,366,348,chabons,2026-04-09 13:45:09,0.9482288828337875,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,611,255,zixuanlimit,2026-04-09 13:45:18,0.4166666666666667,True
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,55,18,zdw,2026-04-09 13:45:24,0.32142857142857145,False
47680124,IPv6 is the only way forward,worldnews,99,302,quaintdev,2026-04-09 13:45:24,3.02,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,113,26,rryan,2026-04-09 13:45:25,0.22807017543859648,False
47695647,The AI Great Leap Forward,worldnews,109,52,jodah,2026-04-09 13:45:26,0.4727272727272727,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09 13:45:27,0.1557377049180328,False
47691313,"Databricks co-founder wins prestigious ACM award, says 'AGI is here already'",worldnews,7,4,salkahfi,2026-04-09 13:45:28,0.5,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 13:45:29,0.49382716049382713,True
